2021-06-25 15:41:04.087 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 451 ms
2021-06-25 15:41:04.120 [restartedMain] INFO  o.a.camel.core.xml.AbstractCamelContextFactoryBean - Using custom default ThreadPoolProfile with id: defaultThreadPoolProfile and implementation: org.apache.camel.model.ThreadPoolProfileDefinition@42ca2f2
2021-06-25 15:41:04.126 [restartedMain] INFO  o.apache.camel.impl.converter.DefaultTypeConverter - Type converters loaded (core: 195, classpath: 11)
2021-06-25 15:41:04.126 [restartedMain] INFO  o.apache.camel.impl.DefaultExecutorServiceManager - Using custom DefaultThreadPoolProfile: ThreadPoolProfile[defaultThreadPoolProfile (true) size:50-200, keepAlive: 60 SECONDS, maxQueue: 1000, allowCoreThreadTimeOut:false, rejectedPolicy:CallerRuns]
2021-06-25 15:41:04.217 [restartedMain] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2021-06-25 15:41:04.258 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-06-25 15:41:04.291 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-06-25 15:41:04.301 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) is starting
2021-06-25 15:41:04.301 [restartedMain] INFO  o.a.camel.management.ManagedManagementStrategy - JMX is enabled
2021-06-25 15:41:04.352 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2021-06-25 15:41:04.375 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Route: route5 started and consuming from: direct://angus01App
2021-06-25 15:41:04.380 [restartedMain] INFO  org.restlet.Component.Server - Starting the internal [HTTP/1.1] server on port 8081
2021-06-25 15:41:04.380 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Route: angus01App started and consuming from: restlet://http://0.0.0.0:8081/test/angus01App?restletMethods=POST,OPTIONS
2021-06-25 15:41:04.381 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Total 2 routes, of which 2 are started
2021-06-25 15:41:04.382 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) started in 0.082 seconds
2021-06-25 15:41:04.388 [restartedMain] INFO  idv.example.demo.Angus01AppApplication - Started Angus01AppApplication in 0.815 seconds (JVM running for 2608.815)
2021-06-25 15:41:04.393 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2021-06-25 15:41:29.232 [Thread-47] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) is shutting down
2021-06-25 15:41:29.233 [Thread-47] INFO  org.apache.camel.impl.DefaultShutdownStrategy - Starting to graceful shutdown 2 routes (timeout 300 seconds)
2021-06-25 15:41:29.235 [Camel (camel) thread #5 - ShutdownTask] INFO  org.apache.camel.impl.DefaultShutdownStrategy - Route: angus01App shutdown complete, was consuming from: rest://post:/angus01App?componentName=restlet&description=helloWord%21%21&produces=application%2Fjson&routeId=angus01App
2021-06-25 15:41:29.236 [Camel (camel) thread #5 - ShutdownTask] INFO  org.apache.camel.impl.DefaultShutdownStrategy - Route: route5 shutdown complete, was consuming from: direct://angus01App
2021-06-25 15:41:29.236 [Thread-47] INFO  org.apache.camel.impl.DefaultShutdownStrategy - Graceful shutdown of 2 routes completed in 0 seconds
2021-06-25 15:41:29.241 [Thread-47] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) uptime 24.941 seconds
2021-06-25 15:41:29.241 [Thread-47] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) is shutdown in 0.009 seconds
2021-06-25 15:41:30.343 [restartedMain] INFO  idv.example.demo.Angus01AppApplication - Starting Angus01AppApplication using Java 1.8.0_252 on AngusChenCH with PID 3752 (E:\_BlueSprintTools4_workspace\Angus01App\target\classes started by AngusChen in E:\_BlueSprintTools4_workspace\Angus01App)
2021-06-25 15:41:30.343 [restartedMain] INFO  idv.example.demo.Angus01AppApplication - No active profile set, falling back to default profiles: default
2021-06-25 15:41:30.689 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$1d77d328] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-06-25 15:41:30.691 [restartedMain] INFO  o.s.w.s.a.server.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2021-06-25 15:41:30.770 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-06-25 15:41:30.771 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-06-25 15:41:30.771 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-25 15:41:30.797 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-06-25 15:41:30.797 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 451 ms
2021-06-25 15:41:30.815 [restartedMain] INFO  o.a.camel.core.xml.AbstractCamelContextFactoryBean - Using custom default ThreadPoolProfile with id: defaultThreadPoolProfile and implementation: org.apache.camel.model.ThreadPoolProfileDefinition@7ab37f86
2021-06-25 15:41:30.818 [restartedMain] INFO  o.apache.camel.impl.converter.DefaultTypeConverter - Type converters loaded (core: 195, classpath: 11)
2021-06-25 15:41:30.819 [restartedMain] INFO  o.apache.camel.impl.DefaultExecutorServiceManager - Using custom DefaultThreadPoolProfile: ThreadPoolProfile[defaultThreadPoolProfile (true) size:50-200, keepAlive: 60 SECONDS, maxQueue: 1000, allowCoreThreadTimeOut:false, rejectedPolicy:CallerRuns]
2021-06-25 15:41:30.875 [restartedMain] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2021-06-25 15:41:30.900 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-06-25 15:41:30.916 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-06-25 15:41:30.919 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) is starting
2021-06-25 15:41:30.925 [restartedMain] INFO  o.a.camel.management.ManagedManagementStrategy - JMX is enabled
2021-06-25 15:41:30.955 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2021-06-25 15:41:30.969 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Route: route6 started and consuming from: direct://angus01App
2021-06-25 15:41:30.971 [restartedMain] INFO  org.restlet.Component.Server - Starting the internal [HTTP/1.1] server on port 8081
2021-06-25 15:41:30.972 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Route: angus01App started and consuming from: restlet://http://0.0.0.0:8081/test/angus01App?restletMethods=POST,OPTIONS
2021-06-25 15:41:30.973 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Total 2 routes, of which 2 are started
2021-06-25 15:41:30.973 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) started in 0.054 seconds
2021-06-25 15:41:30.976 [restartedMain] INFO  idv.example.demo.Angus01AppApplication - Started Angus01AppApplication in 0.682 seconds (JVM running for 2635.403)
2021-06-25 15:41:30.978 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2021-06-25 15:42:41.187 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-06-25 15:42:41.192 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-06-25 15:42:41.194 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2021-06-25 15:44:26.757 [Thread-57] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) is shutting down
